色澤,根蒂,敲聲,紋理,臍部,觸感,密度,含糖率,好瓜
青綠,蜷縮,沉悶,清晰,凹陷,硬滑,0.697,0.46,是
烏黑,蜷縮,沉悶,清晰,凹陷,硬滑,0.774,0.376,是
烏黑,蜷縮,沉悶,清晰,凹陷,硬滑,0.634,0.264,是
青綠,蜷縮,沉悶,清晰,凹陷,硬滑,0.608,0.318,是
淺白,稍蜷,清脆,清晰,稍凹,硬滑,0.556,0.215,否
青綠,稍蜷,清脆,模糊,稍凹,軟粘,0.403,0.237,否
烏黑,稍蜷,清脆,模糊,稍凹,軟粘,0.481,0.149,否
淺白,稍蜷,沉悶,模糊,凹陷,硬滑,0.437,0.211,否
青綠,硬挺,清脆,清晰,平坦,軟粘,0.666,0.091,否
淺白,硬挺,清脆,稍糊,平坦,硬滑,0.243,0.267,否
烏黑,硬挺,清脆,稍糊,平坦,軟粘,0.245,0.057,否
青綠,硬挺,沉悶,稍糊,稍凹,軟粘,0.343,0.099,否
青綠,蜷縮,沉悶,清晰,稍凹,硬滑,0.639,0.161,是
烏黑,稍蜷,沉悶,稍糊,凹陷,軟粘,0.657,0.198,是
淺白,蜷縮,沉悶,清晰,平坦,硬滑,0.36,0.37,否
淺白,蜷縮,清脆,模糊,稍凹,軟粘,0.593,0.042,否
烏黑,硬挺,沉悶,模糊,平坦,硬滑,0.719,0.103,否
